id;codigo;nome;endereco;cidade;uf;bairro;rede;vendedor;loja;reigao;latitude;longitude;created_at
;186;RmixStella Maris ;;Salvador;BA;;Redemix;Vinicius;11;;;;
;4237;Rocha Carnes Aracaju ;;Aracaju;SE;;Rocha Carnes;Vinicius;1;;;;
;4237;Rocha Carnes Barra;;Barra Dos Coqueiros;SE;;Rocha Carnes;Vinicius;2;;;;
;6041;Roselly Ferreira Sales;;Salvador;BA;;Rocha Carnes;Vinicius;1;;;;
;47;Sams Aracaju ;;Aracaju;SE;;Sams;Vinicius;7;;;;
;47;Sams Bonoco;;Salvador;BA;;Sams;Vinicius;10;;;;
;47;Sams Feira De Santana ;;Feira De Santana;BA;;Sams;Vinicius;12;;;;
;47;Sams Lauro De Freitas ;;Lauro De Freitas;BA;;Sams;Vinicius;9;;;;
;47;Sams Pituba ;;Salvador;BA;;Sams;Vinicius;5;;;;
;4234;Sup Bombom Aracaju ;;Aracaju;SE;;Sup Bombom;Vinicius;3;;;;
;4234;Sup Bombom Estancia ;;Estancia;SE;;Sup Bombom;Vinicius;2;;;;
;4234;Sup Bombom Lagarto ;;Lagarto;SE;;Sup Bombom;Vinicius;1;;;;
;4136;Total Atacado Salvador;;Salvador;BA;;Total;Nixon;1;;;;
;5116;Total Atacado Lauro;;Lauro De Freitas;BA;;Total;Nixon;1;;;;
;3081;Trielo Ceasa Ba ;;Salvador;BA;;Trielo;Trielo;3;;;;
;203;Hiper Unimar Arembepe ;;Camacari;BA;;Unimar;Nixon;2;;;;
;203;Hiper Unimar Barra Do Pojuca ;;Camacari;BA;;Unimar;Nixon;1;;;;
